Pts,xG
100,86.4
81,60.7
77,67.3
75,72.7
70,57.9
63,68.4
54,34.5
49,41.4
47,48.1
44,45.3
44,56.1
44,44.8
42,39.9
41,47.4
40,37.2
37,31.7
36,42.2
33,30.5
33,37.5
31,34.4
98,82
97,74.7
72,58.2
71,57.9
70,58
66,59.4
57,49
54,47.3
52,49.6
52,48.2
50,48.1
49,50.9
45,39.6
45,54.2
40,40.7
39,46.1
36,34.1
34,39.5
26,39
16,29.4
99,71.5
81,93
66,59.4
66,66.6
62,61.6
59,46.1
59,47.1
56,49.2
54,41.5
54,43.9
52,54
49,49.3
44,33.1
43,34
41,41.2
39,46.2
35,40.1
34,42.7
34,45.1
21,38
86,73.3
74,60.2
69,72.6
67,64
66,56
65,53.9
62,54.5
61,53.5
59,57.5
59,47.2
55,52.9
45,41
45,39.9
44,32.4
43,42.4
41,51.6
39,39.9
28,41.3
26,33.8
23,31.4
